"","symbol","week52change","week52high","week52low","marketcap","employees","day200MovingAvg","day50MovingAvg","float","avg10Volume","avg30Volume","ttmEPS","ttmDividendRate","companyName","sharesOutstanding","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","dividendYield","nextEarningsDate","exDividendDate","peRatio","beta","nextDividendDate"
"1433","MFL",0.070502,13.72,11.78,500606160,NA,13.03,13.46,37895090.496,86956.5,67760.77,0.3823,0.678,"BlackRock MuniHoldings Investment Quality Fund",37896000,-0.112022,-0.0681,-0.114441,0.070502,0.025621,0.028816,-0.004521,-0.031525,-0.016381,-0.026529,0.0513247539742619,NA,"2019-10-01",34.55,-0.0764230325861189,"2019-10-01"
"1434","MUJ",0.084186,14.66,12.25,415522120,NA,13.6,14.28,28984054.954,67632,61041.43,0.4866,0.665,"BlackRock MuniHoldings New Jersey Quality Fund, Inc.",30154000,-0.036266,-0.042293,-0.042293,0.084186,0.080784,0.033758,-0.006417,-0.052921,-0.047685,-0.030942,0.0482583454281568,NA,"2019-10-01",28.32,0.0251925858722931,"2019-10-01"
"1435","MHN",0.09942,13.92,11.62,413121640,NA,12.9,13.57,31130100.948,60199.6,68150.23,0.4503,0.558,"BlackRock MuniHoldings New York Quality Fund, Inc.",31132000,-0.07355,-0.052784,-0.045885,0.09942,0.095789,0.054011,0.008359,-0.028551,-0.027126,-0.025698,0.0420497362471741,NA,"2019-10-01",29.47,-0.00599442622877052,"2019-10-01"
"1436","MUE",0.048699,13,11.27,NA,NA,12.27,12.74,NA,44928.6,32499.27,NA,NA,"BlackRock MuniHoldings Quality Fund II, Inc.",0,-0.065773,-0.079864,-0.098226,0.049034,0.066951,0.035987,0.01166,-0.037442,-0.023906,-0.021613,NA,NA,"2019-10-01",NA,-0.034676982077453,"2019-10-01"
"1437","MUS",0.07234,12.95,11.09,NA,NA,12.13,12.62,NA,20676.2,23910.17,NA,NA,"BlackRock MuniHoldings Quality Fund, Inc.",0,-0.091798,-0.08003,-0.105263,0.07234,0.089023,0.060606,0.017425,-0.012539,-0.001585,-0.009434,NA,NA,"2019-10-01",NA,0.0183628268848773,"2019-10-01"
"1438","MVT",0.057395,15.72,12.75,306425880,NA,14.55,15.14,21323786.76,49191.2,31966.5,0.9342,0.754,"BlackRock MuniVest Fund II, Inc.",21324000,0.03078,-0.066148,-0.079284,0.057395,0.058174,-0.017772,-0.021784,-0.058322,-0.075884,-0.032323,0.0524704244954767,NA,"2019-10-01",15.38,-0.071877696439629,"2019-10-01"
"1439","MYC",0.094325,15.1,12.2,305649130,NA,13.65,14.35,20681201.126,49144.3,41389.27,0.2998,0.634,"BlackRock MuniYield California Fund, Inc.",21419000,-0.062976,-0.12192,-0.096128,0.094325,0.085171,0.068914,0.024408,-0.013187,-0.00765,-0.035811,0.0444288717589348,NA,"2019-10-01",47.6,-0.0783590113523276,"2019-10-01"
"1440","MCA",0.065951,14.68,12.33,478243400,NA,13.66,14.36,34405896.782,89738,68731.77,0.2009,0.6305,"BlackRock MuniYield California Quality Fund, Inc.",34406000,-0.001451,-0.085106,-0.081442,0.065951,0.084243,0.041979,-0.020437,-0.041379,-0.035392,-0.039392,0.0453597122302158,NA,"2019-10-01",69.19,-0.0178719463549686,"2019-10-01"
"1441","MYD",0.054572,15.17,12.29,670541300,NA,14.06,14.76,46890062.18,96257.5,74744.63,0.9096,0.722,"BlackRock MuniYield Fund, Inc.",46891000,0.110334,-0.001398,-0.037062,0.054572,0.115445,0.037736,-0.004178,-0.037685,-0.044756,-0.031165,0.0504895104895105,NA,"2019-10-01",15.72,0.00171300592437782,"2019-10-01"
"1442","MYF",-0.039944,14.89,12.59,NA,NA,14.08,14.46,NA,32659.6,26134.07,NA,NA,"BlackRock MuniYield Investment Fund",0,0.014094,-0.021088,-0.067401,-0.039944,0.061193,-0.022825,-0.053867,-0.060034,-0.058419,-0.057772,NA,NA,"2019-10-01",NA,0.055230332423056,"2019-10-01"
"1443","MFT",0.031471,14.42,11.83,NA,NA,13.32,13.61,NA,26550,21735.27,NA,NA,"Blackrock MuniYield Investment Quality Fund",0,-0.071622,0.008811,-0.01364,0.030985,0.046289,0.013138,-0.066904,-0.03532,-0.042367,-0.033898,NA,NA,"2019-10-01",NA,-0.0477469995116752,"2019-10-01"
"1444","MIY",0.104083,14.54,12.15,NA,NA,13.44,14.18,NA,42112.5,39488.43,NA,NA,"BlackRock MuniYield Michigan Quality Fund, Inc.",0,-0.061126,-0.005818,-0.012996,0.104083,0.094444,0.048669,0.005835,-0.045675,-0.03499,-0.024062,NA,NA,"2019-10-01",NA,0.0219179454504419,"2019-10-01"
