"","symbol","week52change","week52high","week52low","day200MovingAvg","day50MovingAvg","avg10Volume","avg30Volume","ttmEPS","companyName","maxChangePercent","year5ChangePercent","year2ChangePercent","year1ChangePercent","ytdChangePercent","month6ChangePercent","month3ChangePercent","month1ChangePercent","day30ChangePercent","day5ChangePercent","peRatio","beta","marketcap","employees","float","ttmDividendRate","sharesOutstanding","nextDividendDate","dividendYield","nextEarningsDate","exDividendDate"
"70","BKCH",0.036437,28.96,24.45,26.63,27.24,12824.6,4703.37,NA,"AdvisorShares Sabretooth ETF",0.095951,0.095951,0.095951,0.048543,0.048543,0.001121,-0.036137,-0.021572,-0.079638,-0.036137,NA,0.0747511974823029,NA,NA,NA,NA,0,NA,NA,NA,NA
"71","ACT",-0.086924,27.73,20.88,24.35,24.62,2040.6,1986.8,NA,"AdvisorShares Vice ETF",0.02642,0.02642,0.02642,-0.080121,0.141517,-0.038329,-0.024406,-0.000505,-0.014176,0.005287,NA,0.731651105059806,NA,NA,NA,NA,0,NA,NA,NA,NA
"72","AEGN",-0.120066,25.54,14.12,17.91,19.05,156957.2,124716.93,-0.4849,"Aegion Corp.",0.229532,-0.301205,-0.168562,-0.117158,0.273217,0.256653,0.302083,0.097057,0.127919,0.095926,-43.68,0.995456422646283,654334920,5350,29906782.23,NA,30894000,NA,NA,"2019-11-01",NA
"73","AGLE",0.004728,10.49,5.99,7.65,7.75,64850.8,77085.77,-2.3024,"Aeglea Biotherapeutics, Inc.",69999,-0.283521,0.088647,0.048463,0.103234,0.059737,0.442276,0.111529,-0.014444,0.107366,-3.69,1.08148597513056,245522500,61,23708143.645,NA,28885000,NA,NA,"2019-11-11",NA
"74","AEHR",-0.402542,2.54,1.03,1.5,1.42,34994.3,27354.83,-0.2359,"Aehr Test Systems",-0.263393,-0.329268,-0.60241,-0.394068,-0.071429,0.014184,-0.14881,0.067164,0.091603,0.014184,-5.98,0.595572855611644,32036610,79,19842067.532,NA,22721000,NA,NA,"2019-09-26",NA
"75","AMTX",-0.140496,1.73,0.42,0.89,0.89,38287,39534.33,-1.9634,"Aemetis, Inc.",-0.99181,-0.73125,0.09322,-0.264463,0.392801,-0.038669,-0.07282,-0.011001,-0.012647,0.120907,-0.53,1.39637317547733,21392800,153,14964037.33,NA,20570000,NA,NA,"2019-11-08",NA
"76","AERI",-0.628427,63.2,18.02,36.04,22.84,2010685.9,1278883,-5.1949,"Aerie Pharmaceuticals, Inc.",40419,1.783747,0.006725,-0.61127,-0.363711,-0.518241,-0.302445,-0.052092,0.077892,0.227949,-4.25,1.07163310307813,1014792510,353,39562161.471,NA,45939000,NA,NA,"2019-11-11",NA
"77","AVAV",-0.453697,121.32,48.61,66.48,54,293056.6,196304.47,1.5843,"AeroVironment, Inc.",1.844964,1.061157,1.333105,-0.446967,-0.100292,-0.218786,-0.031279,0.191148,0.164808,0.082367,38.43,1.15894774038531,1459902400,699,21695976.94,NA,23980000,NA,NA,"2019-11-25",NA
"78","ARPO",-0.808837,4.25,0.61,1.6088,0.7375,29399.1,80375.97,-0.2744,"Aerpio Pharmaceuticals, Inc.",-0.823333,-0.823333,-0.823333,-0.806094,-0.648241,-0.826303,-0.285714,0.027146,-0.054054,-0.001996,-2.51,0.467964928096995,28009779,27,30366439.844,NA,40588000,NA,NA,"2019-11-08",NA
"79","AEZS",0.091463,5.57,1.29,3.27,2.3,114685.1,95034.7,-0.7507,"Æterna Zentaris, Inc.",-0.997429,-0.965321,3.2,0.140244,-0.382838,-0.5325,-0.32,-0.248996,-0.21097,0.005376,-2.38,1.46878551705464,29771280,20,16627525.992,NA,16632000,NA,NA,"2019-11-06",NA
