"","Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Ex","Company","City","State","BreachType","TotalRecords","BreachYear","Latitude","Longitude","CompanyName"
"3608","ACB","Aurora Cannabis Inc.",2107,"$5.61B","2018","Consumer Durables","Specialty Chemicals","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3609","ATHM","Autohome Inc.",4231,"$10.29B","2013","Technology","EDP Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3610","ALV","Autoliv, Inc.",4062,"$5.97B","n/a","Capital Goods","Auto Parts:O.E.M.","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3611","AN","AutoNation, Inc.",3835,"$4.23B","n/a","Consumer Durables","Automotive Aftermarket","NYSE","AutoNation, Inc.","Fort Lauderdale","Florida","Hacking",29,2014,26.205941,-80.145935,"AutoNation, Inc."
"3612","AZO","AutoZone, Inc.",2770,"$27.02B","n/a","Consumer Services","Other Specialty Stores","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3613","AVLR","Avalara, Inc.",4218,"$6.37B","2018","Technology","Computer Software: Prepackaged Software","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3614","AVB","AvalonBay Communities, Inc.",3239,"$29.69B","n/a","Consumer Services","Real Estate Investment Trusts","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3615","AGR","Avangrid, Inc.",2142,"$15.62B","2015","Public Utilities","Electric Utilities: Central","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3616","AVNS","Avanos Medical, Inc.",3618,"$1.58B","2014","Health Care","Industrial Specialties","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3617","AVTR","Avantor, Inc.",3088,"$9.96B","2019","Capital Goods","Biotechnology: Laboratory Analytical Instruments","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3618","AVYA","Avaya Holdings Corp.",685,"$1.57B","n/a","Public Utilities","Telecommunications Equipment","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3619","AVY","Avery Dennison Corporation",2785,"$9.73B","n/a","Consumer Durables","Containers/Packaging","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3620","AVH","Avianca Holdings S.A.",1061,"$333.99M","2013","Transportation","Air Freight/Delivery Services","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3621","AVA","Avista Corporation",3827,"$3.1B","n/a","Public Utilities","Power Generation","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3622","AVP","Avon Products, Inc.",1884,"$1.93B","n/a","Consumer Non-Durables","Package Goods/Cosmetics","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3623","AVX","AVX Corporation",643,"$2.29B","n/a","Capital Goods","Electrical Products","NYSE",NA,NA,NA,NA,NA,NA,NA,NA,NA
